SchoolID,Name,Sector,Rating,Subjects
S01,Beaconhouse E-7,E-7,4.7,"Bio, Chem, English"
S02,APS E-8,E-8,3.9,"Math, Physics, English"
S03,Roots E-9,E-9,4.1,"Bio, Chem, English"
S04,Froebels E-10,E-10,4.2,"Math, Physics, English"
S05,City School E-11,E-11,4.7,"Bio, Chem, English"
S06,APS F-6,F-6,4.5,"Math, Physics, English"
S07,Beaconhouse F-7,F-7,3.8,"Bio, Chem, English"
S08,Beaconhouse F-8,F-8,4.0,"Math, Physics, English"
S09,APS F-9,F-9,3.6,"Bio, Chem, English"
S10,Beaconhouse F-10,F-10,4.7,"Math, Physics, English"
S11,APS F-11,F-11,3.9,"Bio, Chem, English"
S12,Froebels G-6,G-6,4.3,"Math, Physics, English"
S13,Beaconhouse G-7,G-7,3.5,"Bio, Chem, English"
S14,Beaconhouse G-8,G-8,3.9,"Math, Physics, English"
S15,Froebels G-9,G-9,4.8,"Bio, Chem, English"
S16,APS G-10,G-10,4.3,"Math, Physics, English"
S17,City School G-11,G-11,4.5,"Bio, Chem, English"
S18,APS H-8,H-8,4.7,"Math, Physics, English"
S19,APS H-9,H-9,3.7,"Bio, Chem, English"
S20,Roots H-10,H-10,4.6,"Math, Physics, English"
S21,City School H-11,H-11,3.8,"Bio, Chem, English"
S22,Beaconhouse H-12,H-12,4.4,"Math, Physics, English"
S23,Roots I-8,I-8,4.9,"Bio, Chem, English"
S24,City School I-9,I-9,3.6,"Math, Physics, English"
S25,City School I-10,I-10,3.9,"Bio, Chem, English"
S26,APS I-11,I-11,4.5,"Math, Physics, English"
S27,Roots I-12,I-12,4.2,"Bio, Chem, English"
S28,Roots E-7,E-7,4.7,"Math, Physics, English"
S29,City School E-8,E-8,4.9,"Bio, Chem, English"
S30,Roots E-9,E-9,4.3,"Math, Physics, English"
S31,Lyceum School E-10,E-10,4.6,"Bio, Chem, Urdu"
S32,Dar-e-Arqam E-11,E-11,4.1,"Islamiyat, Arabic, English"
S33,Westminster School F-6,F-6,4.8,"Math, Physics, Chemistry"
S34,Aitchison College F-7,F-7,4.9,"Bio, English, History"
S35,Convent School F-8,F-8,4.4,"Art, Music, English"
S36,Grammar School F-9,F-9,4.2,"Bio, Chem, Math"
S37,Model College F-10,F-10,3.9,"Physics, Math, Computer"
S38,Foundation School F-11,F-11,4.5,"English, Urdu, Pak Studies"
S39,Headstart School G-6,G-6,4.7,"Bio, Chem, Physics"
S40,Beacon Academy G-7,G-7,4.0,"Math, English, Science"
S41,International School G-8,G-8,4.6,"Foreign Lang, Math, Science"
S42,Millennium College G-9,G-9,3.8,"Bio, Physics, Math"
S43,Oxford School G-10,G-10,4.4,"English, Literature, History"
S44,Cambridge School G-11,G-11,4.8,"Math, Physics, Chemistry"
S45,Edinburgh College H-8,H-8,4.3,"Bio, Chem, English"
S46,Bay View Academy H-9,H-9,4.1,"Math, Science, Computer"
S47,Phoenix School H-10,H-10,4.5,"English, Bio, Chem"
S48,Maple Leaf School H-11,H-11,4.7,"Math, Physics, English"
S49,Salamat International H-12,H-12,3.9,"Islamiyat, Arabic, Urdu"
S50,Garrison Academy H-13,H-13,4.2,"Math, Physics, English"
S51,Bloomfield Hall I-8,I-8,4.6,"Bio, Chem, English"
S52,Crescent Model I-9,I-9,3.7,"Math, Physics, Computer"
S53,Allied School I-10,I-10,4.0,"English, Urdu, Science"
S54,Educators School I-11,I-11,4.3,"Math, Bio, Chemistry"
S55,Star Academy I-12,I-12,4.4,"Physics, Math, English"
S56,Green Valley School I-13,I-13,4.1,"Bio, English, Pak Studies"
S57,Wisdom School I-14,I-14,3.8,"Math, Science, Urdu"
S58,Imperial College E-7,E-7,4.5,"Physics, Chemistry, Math"
S59,Premier School E-8,E-8,4.2,"Bio, English, Computer"
S60,Elite Academy E-9,E-9,4.4,"Math, Physics, Chemistry"
S61,Excellence School E-10,E-10,3.9,"English, Bio, Urdu"
S62,Horizon School E-11,E-11,4.6,"Math, Physics, English"
S63,Victory College F-6,F-6,4.3,"Bio, Chem, Computer"
S64,Bright Future F-7,F-7,4.0,"Math, Science, English"
S65,Knowledge Hub F-8,F-8,4.7,"Physics, Chemistry, Bio"
S66,Learn & Grow F-9,F-9,3.6,"English, Math, Science"
S67,Smart Kids Academy F-10,F-10,4.1,"Bio, Math, English"
S68,Future Leaders F-11,F-11,4.5,"Physics, Chem, Math"
S69,Rising Stars G-6,G-6,4.2,"English, Science, Urdu"
S70,Academic Excellence G-7,G-7,4.8,"Math, Physics, Bio"
S71,Scholar's Choice G-8,G-8,3.9,"Chemistry, English, Math"
S72,Pioneer School G-9,G-9,4.4,"Bio, Physics, Computer"
S73,Heritage School G-10,G-10,4.6,"English, History, Urdu"
S74,Capital School G-11,G-11,4.1,"Math, Science, Physics"
S75,Unity College H-8,H-8,4.3,"Bio, Chemistry, English"
